Year,Month,Median montly series,Season
1728,7,82.2,Summer
1728,8,81.0,Summer
1728,9,110.8,Autumn
1728,10,94.1,Autumn
1728,11,131.0,Autumn
1728,12,120.3,Winter
1729,1,110.6,Winter
1729,2,52.0,Winter
1729,3,69.7,Spring
1729,4,26.5,Spring
1729,5,69.7,Spring
1729,6,82.9,Summer
1729,7,68.6,Summer
1729,8,80.7,Summer
1729,9,111.7,Autumn
1729,10,94.0,Autumn
1729,11,182.4,Autumn
1729,12,157.0,Winter
1730,1,73.4,Winter
1730,2,127.5,Winter
1730,3,92.6,Spring
1730,4,61.4,Spring
1730,5,117.9,Spring
1730,6,139.5,Summer
1730,7,99.9,Summer
1730,8,80.6,Summer
1730,9,72.2,Autumn
1730,10,129.9,Autumn
1730,11,108.3,Autumn
1730,12,99.9,Winter
1731,1,94.3,Winter
1731,2,96.1,Winter
1731,3,28.7,Spring
1731,4,26.9,Spring
1731,5,50.3,Spring
1731,6,35.9,Summer
1731,7,49.4,Summer
1731,8,80.8,Summer
1731,9,71.9,Autumn
1731,10,113.2,Autumn
1731,11,131.1,Autumn
1731,12,119.5,Winter
1732,1,122.5,Winter
1732,2,96.7,Winter
1732,3,93.3,Spring
1732,4,61.8,Spring
1732,5,118.0,Spring
1732,6,36.0,Summer
1732,7,98.9,Summer
1732,8,80.9,Summer
1732,9,111.3,Autumn
1732,10,130.4,Autumn
1732,11,55.1,Autumn
1732,12,119.2,Winter
1733,1,149.0,Winter
1733,2,127.2,Winter
1733,3,93.3,Spring
1733,4,61.8,Spring
1733,5,23.0,Spring
1733,6,60.6,Summer
1733,7,49.7,Summer
1733,8,116.3,Summer
1733,9,111.5,Autumn
1733,10,94.5,Autumn
1733,11,130.9,Autumn
1733,12,193.9,Winter
1734,1,94.3,Winter
1734,2,71.9,Winter
1734,3,102.6,Spring
1734,4,44.8,Spring
1734,5,117.9,Spring
1734,6,95.5,Summer
1734,7,127.4,Summer
1734,8,81.4,Summer
1734,9,110.8,Autumn
1734,10,93.2,Autumn
1734,11,82.5,Autumn
1734,12,156.8,Winter
1735,1,122.7,Winter
1735,2,96.0,Winter
1735,3,102.7,Spring
1735,4,93.4,Spring
1735,5,50.7,Spring
1735,6,96.0,Summer
1735,7,128.0,Summer
1735,8,116.0,Summer
1735,9,110.7,Autumn
1735,10,130.7,Autumn
1735,11,166.7,Autumn
1735,12,120.0,Winter
1736,1,149.8,Winter
1736,2,96.4,Winter
1736,3,68.7,Spring
1736,4,93.3,Spring
1736,5,99.5,Spring
1736,6,20.5,Summer
1736,7,49.2,Summer
1736,8,81.0,Summer
1736,9,71.8,Autumn
1736,10,94.4,Autumn
1736,11,81.0,Autumn
1736,12,120.0,Winter
1737,1,149.4,Winter
1737,2,127.3,Winter
1737,3,93.0,Spring
1737,4,94.1,Spring
1737,5,49.8,Spring
1737,6,60.9,Summer
1737,7,49.8,Summer
1737,8,116.2,Summer
1737,9,71.9,Autumn
1737,10,94.1,Autumn
1737,11,80.8,Autumn
1737,12,119.5,Winter
1738,1,149.7,Winter
1738,2,72.9,Winter
1738,3,69.1,Spring
1738,4,94.7,Spring
1738,5,117.7,Spring
1738,6,96.0,Summer
1738,7,48.6,Summer
1738,8,140.8,Summer
1738,9,111.3,Autumn
1738,10,152.3,Autumn
1738,11,107.5,Autumn
1738,12,119.0,Winter
1739,1,122.9,Winter
1739,2,96.1,Winter
1739,3,48.1,Spring
1739,4,61.5,Spring
1739,5,69.3,Spring
1739,6,96.1,Summer
1739,7,127.4,Summer
1739,8,116.2,Summer
1739,9,145.3,Autumn
1739,10,70.4,Autumn
1739,11,108.4,Autumn
1739,12,55.9,Winter
1740,1,35.0,Winter
1740,2,52.8,Winter
1740,3,48.2,Spring
1740,4,26.4,Spring
1740,5,69.9,Spring
1740,6,36.5,Summer
1740,7,68.4,Summer
1740,8,100.3,Summer
1740,9,111.1,Autumn
1740,10,70.7,Autumn
1740,11,80.8,Autumn
1740,12,76.9,Winter
1741,1,109.8,Winter
1741,2,52.9,Winter
1741,3,28.9,Spring
1741,4,26.4,Spring
1741,5,22.3,Spring
1741,6,61.1,Summer
1741,7,68.5,Summer
1741,8,66.1,Summer
1741,9,91.7,Autumn
1741,10,113.1,Autumn
1741,11,108.2,Autumn
1741,12,76.8,Winter
1742,1,123.3,Winter
1742,2,72.5,Winter
1742,3,29.2,Spring
1742,4,26.4,Spring
1742,5,49.9,Spring
1742,6,61.2,Summer
1742,7,81.9,Summer
1742,8,65.9,Summer
1742,9,71.5,Autumn
1742,10,151.6,Autumn
1742,11,108.3,Autumn
1742,12,99.8,Winter
1743,1,149.9,Winter
1743,2,96.2,Winter
1743,3,68.9,Spring
1743,4,94.2,Spring
1743,5,69.9,Spring
1743,6,36.5,Summer
1743,7,99.3,Summer
1743,8,49.6,Summer
1743,9,71.9,Autumn
1743,10,113.4,Autumn
1743,11,107.4,Autumn
1743,12,55.7,Winter
1744,1,73.8,Winter
1744,2,96.5,Winter
1744,3,102.1,Spring
1744,4,62.4,Spring
1744,5,49.9,Spring
1744,6,61.3,Summer
1744,7,82.8,Summer
1744,8,140.7,Summer
1744,9,145.3,Autumn
1744,10,152.1,Autumn
1744,11,131.7,Autumn
1744,12,36.3,Winter
1745,1,122.7,Winter
1745,2,52.1,Winter
1745,3,47.8,Spring
1745,4,61.9,Spring
1745,5,139.0,Spring
1745,6,95.6,Summer
1745,7,68.4,Summer
1745,8,141.2,Summer
1745,9,25.0,Autumn
1745,10,152.1,Autumn
1745,11,81.5,Autumn
1745,12,98.9,Winter
1746,1,110.1,Winter
1746,2,38.0,Winter
1746,3,93.1,Spring
1746,4,45.0,Spring
1746,5,22.0,Spring
1746,6,96.1,Summer
1746,7,156.1,Summer
1746,8,50.0,Summer
1746,9,92.1,Autumn
1746,10,70.1,Autumn
1746,11,108.1,Autumn
1746,12,120.1,Winter
1747,1,149.5,Winter
1747,2,72.7,Winter
1747,3,48.2,Spring
1747,4,44.9,Spring
1747,5,69.5,Spring
1747,6,61.3,Summer
1747,7,49.0,Summer
1747,8,49.8,Summer
1747,9,111.1,Autumn
1747,10,70.3,Autumn
1747,11,54.7,Autumn
1747,12,36.0,Winter
1748,1,74.0,Winter
1748,2,52.6,Winter
1748,3,92.7,Spring
1748,4,62.4,Spring
1748,5,99.0,Spring
1748,6,36.6,Summer
1748,7,99.0,Summer
1748,8,81.1,Summer
1748,9,71.3,Autumn
1748,10,113.2,Autumn
1748,11,54.4,Autumn
1748,12,55.3,Winter
1749,1,149.6,Winter
1749,2,51.7,Winter
1749,3,69.8,Spring
1749,4,94.3,Spring
1749,5,49.9,Spring
1749,6,36.3,Summer
1749,7,82.5,Summer
1749,8,100.7,Summer
1749,9,91.6,Autumn
1749,10,70.7,Autumn
1749,11,54.4,Autumn
1749,12,55.3,Winter
1750,1,73.9,Winter
1750,2,96.2,Winter
1750,3,69.9,Spring
1750,4,44.6,Spring
1750,5,22.3,Spring
1750,6,96.2,Summer
1750,7,99.3,Summer
1750,8,140.8,Summer
1750,9,71.9,Autumn
1750,10,113.4,Autumn
1750,11,107.4,Autumn
1750,12,77.0,Winter
1751,1,110.0,Winter
1751,2,72.6,Winter
1751,3,102.0,Spring
1751,4,62.4,Spring
1751,5,69.2,Spring
1751,6,20.4,Summer
1751,7,156.5,Summer
1751,8,116.8,Summer
1751,9,145.1,Autumn
1751,10,94.1,Autumn
