Year,Month,Median montly series,Season,Avg,Avg_trend
1741,3,28.9,Spring,68.81666666666666,75.90208333333334
1741,4,26.4,Spring,68.81666666666666,74.8888888888889
1741,5,22.3,Spring,68.81666666666666,73.87569444444445
1741,6,61.1,Summer,68.81666666666666,72.8625
1741,7,68.5,Summer,68.81666666666666,71.84930555555555
1741,8,66.1,Summer,68.81666666666666,70.83611111111112
1741,9,91.7,Autumn,68.81666666666666,69.82291666666667
1741,10,113.1,Autumn,68.81666666666666,68.80972222222222
1741,11,108.2,Autumn,68.81666666666666,67.79652777777778
1741,12,76.8,Winter,68.81666666666666,66.78333333333333
1742,1,123.3,Winter,78.45833333333333,67.35451388888889
1742,2,72.5,Winter,78.45833333333333,67.92569444444443
1742,3,29.2,Spring,78.45833333333333,68.496875
1742,4,26.4,Spring,78.45833333333333,69.06805555555555
1742,5,49.9,Spring,78.45833333333333,69.6392361111111
1742,6,61.2,Summer,78.45833333333333,70.21041666666666
1742,7,81.9,Summer,78.45833333333333,70.78159722222222
1742,8,65.9,Summer,78.45833333333333,71.35277777777777
1742,9,71.5,Autumn,78.45833333333333,71.92395833333333
1742,10,151.6,Autumn,78.45833333333333,72.49513888888889
1742,11,108.3,Autumn,78.45833333333333,73.06631944444443
1742,12,99.8,Winter,78.45833333333333,73.63749999999999
1743,1,149.9,Winter,84.40833333333335,74.28715277777778
1743,2,96.2,Winter,84.40833333333335,74.93680555555555
1743,3,68.9,Spring,84.40833333333335,75.58645833333333
1743,4,94.2,Spring,84.40833333333335,76.2361111111111
1743,5,69.9,Spring,84.40833333333335,76.88576388888889
1743,6,36.5,Summer,84.40833333333335,77.53541666666668
1743,7,99.3,Summer,84.40833333333335,78.18506944444444
1743,8,49.6,Summer,84.40833333333335,78.83472222222223
1743,9,71.9,Autumn,84.40833333333335,79.484375
1743,10,113.4,Autumn,84.40833333333335,80.13402777777777
1743,11,107.4,Autumn,84.40833333333335,80.78368055555556
1743,12,55.7,Winter,84.40833333333335,81.43333333333334
1744,1,73.8,Winter,94.57499999999999,82.10486111111112
1744,2,96.5,Winter,94.57499999999999,82.77638888888889
1744,3,102.1,Spring,94.57499999999999,83.44791666666667
1744,4,62.4,Spring,94.57499999999999,84.11944444444445
1744,5,49.9,Spring,94.57499999999999,84.79097222222224
1744,6,61.3,Summer,94.57499999999999,85.46249999999999
1744,7,82.8,Summer,94.57499999999999,86.13402777777777
1744,8,140.7,Summer,94.57499999999999,86.80555555555556
1744,9,145.3,Autumn,94.57499999999999,87.47708333333333
1744,10,152.1,Autumn,94.57499999999999,88.14861111111111
1744,11,131.7,Autumn,94.57499999999999,88.82013888888889
1744,12,36.3,Winter,94.57499999999999,89.49166666666666
1745,1,122.7,Winter,90.51666666666667,89.74618055555555
1745,2,52.1,Winter,90.51666666666667,90.00069444444443
1745,3,47.8,Spring,90.51666666666667,90.25520833333333
1745,4,61.9,Spring,90.51666666666667,90.50972222222224
1745,5,139.0,Spring,90.51666666666667,90.76423611111112
1745,6,95.6,Summer,90.51666666666667,91.01875000000001
1745,7,68.4,Summer,90.51666666666667,91.27326388888889
1745,8,141.2,Summer,90.51666666666667,91.52777777777777
1745,9,25.0,Autumn,90.51666666666667,91.78229166666665
1745,10,152.1,Autumn,90.51666666666667,92.03680555555555
1745,11,81.5,Autumn,90.51666666666667,92.29131944444443
1745,12,98.9,Winter,90.51666666666667,92.54583333333333
1746,1,110.1,Winter,83.39999999999999,92.08020833333335
1746,2,38.0,Winter,83.39999999999999,91.61458333333331
1746,3,93.1,Spring,83.39999999999999,91.14895833333333
1746,4,45.0,Spring,83.39999999999999,90.68333333333334
1746,5,22.0,Spring,83.39999999999999,90.21770833333333
1746,6,96.1,Summer,83.39999999999999,89.75208333333332
1746,7,156.1,Summer,83.39999999999999,89.28645833333331
1746,8,50.0,Summer,83.39999999999999,88.82083333333333
1746,9,92.1,Autumn,83.39999999999999,88.35520833333334
1746,10,70.1,Autumn,83.39999999999999,87.88958333333333
1746,11,108.1,Autumn,83.39999999999999,87.42395833333332
1746,12,120.1,Winter,83.39999999999999,86.95833333333333
1747,1,149.5,Winter,68.08333333333333,86.02361111111111
1747,2,72.7,Winter,68.08333333333333,85.08888888888889
1747,3,48.2,Spring,68.08333333333333,84.15416666666665
1747,4,44.9,Spring,68.08333333333333,83.21944444444443
1747,5,69.5,Spring,68.08333333333333,82.28472222222221
1747,6,61.3,Summer,68.08333333333333,81.35
1747,7,49.0,Summer,68.08333333333333,80.41527777777777
1747,8,49.8,Summer,68.08333333333333,79.48055555555555
1747,9,111.1,Autumn,68.08333333333333,78.54583333333333
1747,10,70.3,Autumn,68.08333333333333,77.6111111111111
1747,11,54.7,Autumn,68.08333333333333,76.6763888888889
1747,12,36.0,Winter,68.08333333333333,75.74166666666666
1748,1,74.0,Winter,74.3,75.3625
1748,2,52.6,Winter,74.3,74.98333333333332
1748,3,92.7,Spring,74.3,74.60416666666667
1748,4,62.4,Spring,74.3,74.225
1748,5,99.0,Spring,74.3,73.84583333333333
1748,6,36.6,Summer,74.3,73.46666666666665
1748,7,99.0,Summer,74.3,73.08749999999999
1748,8,81.1,Summer,74.3,72.70833333333333
1748,9,71.3,Autumn,74.3,72.32916666666667
1748,10,113.2,Autumn,74.3,71.95
1748,11,54.4,Autumn,74.3,71.57083333333333
1748,12,55.3,Winter,74.3,71.19166666666666
1749,1,149.6,Winter,75.56666666666666,71.50347222222221
1749,2,51.7,Winter,75.56666666666666,71.81527777777778
1749,3,69.8,Spring,75.56666666666666,72.12708333333333
1749,4,94.3,Spring,75.56666666666666,72.43888888888888
1749,5,49.9,Spring,75.56666666666666,72.75069444444443
1749,6,36.3,Summer,75.56666666666666,73.0625
1749,7,82.5,Summer,75.56666666666666,73.37430555555555
1749,8,100.7,Summer,75.56666666666666,73.6861111111111
1749,9,91.6,Autumn,75.56666666666666,73.99791666666665
1749,10,70.7,Autumn,75.56666666666666,74.30972222222222
1749,11,54.4,Autumn,75.56666666666666,74.62152777777777
1749,12,55.3,Winter,75.56666666666666,74.93333333333332
1750,1,73.9,Winter,84.40833333333335,75.35451388888889
1750,2,96.2,Winter,84.40833333333335,75.77569444444445
1750,3,69.9,Spring,84.40833333333335,76.19687499999999
1750,4,44.6,Spring,84.40833333333335,76.61805555555556
1750,5,22.3,Spring,84.40833333333335,77.03923611111111
1750,6,96.2,Summer,84.40833333333335,77.46041666666666
1750,7,99.3,Summer,84.40833333333335,77.88159722222223
1750,8,140.8,Summer,84.40833333333335,78.30277777777779
1750,9,71.9,Autumn,84.40833333333335,78.72395833333333
1750,10,113.4,Autumn,84.40833333333335,79.1451388888889
1750,11,107.4,Autumn,84.40833333333335,79.56631944444445
1750,12,77.0,Winter,84.40833333333335,79.98750000000001
1751,1,110.0,Winter,94.49166666666667,80.77604166666667
1751,2,72.6,Winter,94.49166666666667,81.56458333333335
1751,3,102.0,Spring,94.49166666666667,82.353125
1751,4,62.4,Spring,94.49166666666667,83.14166666666667
1751,5,69.2,Spring,94.49166666666667,83.93020833333334
1751,6,20.4,Summer,94.49166666666667,84.71875
1751,7,156.5,Summer,94.49166666666667,85.50729166666667
1751,8,116.8,Summer,94.49166666666667,86.29583333333335
1751,9,145.1,Autumn,94.49166666666667,87.08437500000002
1751,10,94.1,Autumn,94.49166666666667,87.87291666666668
1751,11,107.7,Autumn,94.49166666666667,88.66145833333333
1751,12,77.1,Winter,94.49166666666667,89.45
1752,1,123.0,Winter,89.89166666666667,89.67847222222224
1752,2,51.8,Winter,89.89166666666667,89.90694444444445
